City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Mossamedes,40,AO,1608171064,84,-15.2,12.15,18.39,1.67
Tual,66,ID,1608171064,75,-5.67,132.75,29.55,8.15
Margate,100,GB,1608171064,86,51.38,1.39,9.44,0.89
Puerto Ayora,19,EC,1608171064,92,-0.74,-90.35,22.22,0.45
Nsanje,100,MW,1608171064,93,-16.92,35.26,23.13,0.65
Punta Arenas,100,CL,1608170964,65,-53.15,-70.92,8.0,8.7
Rikitea,2,PF,1608171065,73,-23.12,-134.97,25.31,4.74
Carnarvon,90,AU,1608170801,73,-24.87,113.63,24.0,10.8
Klaksvík,100,FO,1608171065,87,62.23,-6.59,9.0,5.1
Mahébourg,75,MU,1608171065,100,-20.41,57.7,23.0,1.5
Sangar,98,RU,1608171065,79,63.92,127.47,-42.09,0.97
Kapaa,75,US,1608171065,74,22.08,-159.32,27.0,6.7
Bethel,100,US,1608171065,92,41.37,-73.41,-5.56,5.7
Busselton,0,AU,1608170886,59,-33.65,115.33,20.56,0.45
Sfântu Gheorghe,100,RO,1608170951,94,45.87,25.78,-1.11,0.65
Mahibadhoo,95,MV,1608171066,70,3.78,72.97,27.72,3.73
Sovetskiy,64,RU,1608171066,94,61.36,63.58,-10.57,3.15
Jamestown,90,US,1608171066,92,42.1,-79.24,-3.89,3.1
Necochea,0,AR,1608171066,89,-38.55,-58.74,11.67,1.93
Sitka,90,US,1608170993,75,57.05,-135.33,5.0,3.1
Ushuaia,40,AR,1608171011,81,-54.8,-68.3,6.0,12.9
Port Alfred,1,ZA,1608171067,94,-33.59,26.89,18.33,2.24
Yazd,20,IR,1608171067,69,31.9,54.37,2.0,1.0
Bredasdorp,100,ZA,1608171067,77,-34.53,20.04,18.0,0.5
Hermanus,100,ZA,1608171067,85,-34.42,19.23,17.78,0.45
Hobart,75,AU,1608170926,77,-42.88,147.33,16.0,4.1
Pindi Bhattian,0,PK,1608171068,56,31.9,73.27,6.73,2.27
Asău,100,RO,1608171068,100,46.43,26.4,0.0,0.78
Sheboygan,90,US,1608171068,55,43.73,-87.93,2.0,2.1
Dikson,0,RU,1608171068,82,73.51,80.55,-34.91,7.21
Saint Paul Harbor,90,US,1608170875,80,57.79,-152.41,-1.0,1.45
Thompson,40,CA,1608171068,76,55.74,-97.86,-23.0,2.6
Bonavista,100,CA,1608171068,79,48.65,-53.11,-6.0,8.2
Gamboula,64,CF,1608171069,37,4.12,15.14,19.36,1.74
Cape Town,20,ZA,1608170922,82,-33.93,18.42,18.89,6.7
Upernavik,83,GL,1608171069,84,72.79,-56.15,-8.78,1.7
Fukuechō,75,JP,1608171069,60,32.69,128.84,5.0,5.1
Zharkent,0,KZ,1608171069,77,44.16,80.0,-13.34,0.64
Venado Tuerto,0,AR,1608171069,59,-33.75,-61.97,18.33,1.79
Hay River,100,CA,1608171069,68,60.82,-115.8,-28.0,2.6
Raudeberg,100,NO,1608171070,75,61.99,5.14,8.33,7.38
Tomatlán,0,MX,1608171070,89,19.93,-105.25,19.36,0.35
Portland,90,US,1608171010,93,45.52,-122.68,10.0,6.7
Lavrentiya,100,RU,1608171070,94,65.58,-171.0,-11.87,9.96
New Norfolk,100,AU,1608171070,89,-42.78,147.06,15.56,0.27
Butaritari,82,KI,1608171070,78,3.07,172.79,27.87,8.64
Tevriz,100,RU,1608171070,95,57.51,72.4,-6.9,3.84
Khatanga,0,RU,1608171071,81,71.97,102.5,-36.22,1.44
Albany,90,US,1608171071,66,42.6,-73.97,-7.78,4.1
Dingle,44,PH,1608171071,77,11.0,122.67,28.06,6.7
Pringsewu,100,ID,1608171071,74,-5.36,104.97,27.56,0.24
Sioux Lookout,90,CA,1608170999,73,50.1,-91.92,-6.0,3.6
Soyo,100,AO,1608171071,86,-6.13,12.37,24.73,3.41
Muisne,82,EC,1608171071,84,0.6,-80.03,24.07,3.14
Amga,54,RU,1608171071,82,60.9,131.96,-36.02,0.71
Nokia,75,FI,1608171072,98,61.47,23.5,0.56,3.6
Middelburg,92,ZA,1608171072,82,-25.78,29.46,15.48,2.49
Castro,100,BR,1608171051,95,-24.79,-50.01,18.49,1.76
Sambava,5,MG,1608171072,87,-14.27,50.17,23.73,3.5
Marzuq,0,YE,1608171072,52,14.4,46.47,9.66,0.67
Mar del Plata,0,AR,1608170847,49,-38.0,-57.56,20.0,2.6
Saskylakh,62,RU,1608171072,82,71.92,114.08,-37.7,0.27
Barrow,1,US,1608171073,76,71.29,-156.79,-22.0,10.3
Mataura,20,NZ,1608171073,63,-46.19,168.86,15.56,2.68
Ada,90,US,1608171073,93,43.42,-116.13,3.89,1.5
Coron,42,PH,1608171073,64,12.0,120.2,29.87,6.07
Hilo,1,US,1608170861,65,19.73,-155.09,26.0,2.1
Airai,30,TL,1608171073,89,-8.93,125.41,22.42,1.39
Chui,0,UY,1608171005,92,-33.7,-53.46,16.8,3.02
Fairbanks,75,US,1608170948,49,64.84,-147.72,-18.0,1.5
Nikolskoye,90,RU,1608171074,94,59.7,30.79,3.0,9.0
Padang,98,ID,1608170791,77,-0.95,100.35,25.98,1.28
Ostrovnoy,90,RU,1608171074,93,68.05,39.51,-2.57,6.12
